Column1;Column2;Column3;Column4
Word;LemmADJF;PONOUN;GrADJFm
ультраженственной;ультраженственный;ADJF;f,gen,NOUNg
миллионометра;миллионометр;NOUN;m,NOUNg,gen
гильоше;гильоше;ADJF;NOUNg,m,nom
полуколебаний;полуколебание;NOUN;n,pl,gen
баухаус;Баухаус;ADJF;NOUNg,m,inNOUN
скелетонных;скелетонный;ADJF;pl,gen
турбийона;турбийон;NOUN;m,NOUNg,gen
напылены;напылить;VERB;pADJFrtcp,pADJFNOUNNOUN,pADJFNOUNt,pl,nom,breVERB
ультралегким;ультралегкий;ADJF;NOUNg,m,inNOUN
алмазоподобный;алмазоподобный;ADJF;NOUNg,m,nom
шелкографией;шелкография;NOUN;f,NOUNg,inNOUN
контрэтикетке;контрэтикетка;NOUN;f,NOUNg,loc
пино-де-шарант;пино-де-шарант;NOUN;n,NOUNg,nom
запечатлится;запечатлеться;VERB;preNOUN,3p,NOUNg
фруктовостью;фруктовость;NOUN;f,NOUNg,inNOUN
мелузины;Мелузина;NOUN;f,NOUNg,gen
водорастворимый;водорастворимый;ADJF;m,NOUNg,nom
цианакрилатных;цианакрилатный;ADJF;pl,gen
вентиляторных;вентиляторный;ADJF;pl,gen
кольчище;кольчище;NOUN;n,NOUNg,ADJFcc
жарина;жарина;NOUN;f,NOUNg,nom
опупеть;опупеть;VERB;inf
кулакасто-добрясто-шкафастое;кулакасто-добрясто-шкафастое;ADJF;ADJFcc,n,NOUNg
обосененную;обосенить;VERB;pADJFrtcp,pADJFNOUNNOUN,pADJFNOUNt,NOUNg,f,ADJFcc
кружали;кружаль;NOUN;gen,f,NOUNg
возрадывайтесь;возрадываться;VERB;2p,imper,pl
френдята;френдёнок;NOUN;m,pl,nom
пья;пить;GRND;ger,preNOUN
стригя;стричь;GRND;ger,preNOUN
пекя;печь;GRND;ger,preNOUN
деревяннее;деревяннее;ADJF;comp
невянуще;невянуще;ADVB;
газпром;Газпром;NOUN;nom,m,NOUNg
веселием;веселие;NOUN;n,NOUNg,inNOUN
напояет;напоять;VERB;3p,preNOUN,NOUNg
висю;висеть;VERB;1p,preNOUN,NOUNg
набудусь;набыться;VERB;1p,preNOUN,NOUNg
побежу;победить;VERB;1p,preNOUN,NOUNg
победю;победить;VERB;1p,preNOUN,NOUNg
покрасивь;покрасивить;VERB;2p,NOUNg,imper
приудобился;приудобиться;VERB;m,pADJFNOUNt,NOUNg
расгащивается;расгащиваться;VERB;3p,preNOUN,NOUNg
нельзей;нельзей;ADVB;comp
френдя;френдить;VERB;ger,preNOUN
лукает;лукать;VERB;3p,preNOUN,NOUNg
крылышкуя;крылышковать;VERB;ger,preNOUN
золотописьмом;золотописьмо;NOUN;n,NOUNg,inNOUN
вздребезнулась;вздребезнуться;VERB;f,pADJFNOUNt,NOUNg
вазит;вазить;VERB;3p,NOUNg,preNOUN
калушу;Калуша;NOUN;f,NOUNg,ADJFcc
шмерендит;шмерендить;VERB;3p,NOUNg,preNOUN
увазила;увазить;VERB;f,NOUNg,pADJFNOUNt
кругтелся;кругтеться;VERB;m,NOUNg,pADJFNOUNt
склипких;склипкий;ADJF;pl,gen
мисиков;мисик;NOUN;m,pl,gen
грустела;грустеть;VERB;f,NOUNg,pADJFNOUNt
хрющали;хрющать;VERB;pADJFNOUNt,pl
грезитвой;грезитва;NOUN;f,NOUNg,inNOUN
росторгмонтаж;Росторгмонтаж;NOUN;m,NOUNg,nom
вчк;ВЧК;NOUN;f,NOUNg,nom
огпу;ОГПУ;NOUN;n,NOUNg,nom
БФГ;БФГ;NOUN;f,NOUNg,ADJFcc
факи;ФАКИ;NOUN;m,NOUNg,nom
мфти;МФТИ;NOUN;m,NOUNg,nom
МФЭИ;МФЭИ;NOUN;m,NOUNg,nom
МГТУ;МГТУ;NOUN;m,NOUNg,gen
посмертья;посмертье;NOUN;n,NOUNg,gen
смертствует;смертствовать;VERB;3p,NOUNg,preNOUN
грызомый;грызть;VERB;pADJFrtcp,preNOUN,pADJFNOUNNOUN,m,NOUNg,ADJFcc
Б-быстро;б-быстро;ADVB;
дооолго;дооолго;ADVB;
заздря;заздря;ADVB;
западло;западло;ADVB;
захлебно;захлебно;ADVB;
джоулево;джоулев;ADJF;n,NOUNg,nom
мультифора;;NOUN;
опоросеть;;VERB;
оруэловский;;ADJF;
осиля;;GRND;
оскаруайльдовский;;ADJF;
остановимте;;VERB;
остолбеневать;;VERB;
остужа;;GRND;
осьминоговый;;ADJF;
откувыркиваться;;VERB;
очепятка;;NOUN;
перевключить;;VERB;
печенежиться;;VERB;
пильзенский;;ADJF;
плаваться;;VERB;
плиссе-гофре;;NOUN;
поддергаечка;;NOUN;
потакаемы;;ADJS;
потолочно-зеркальный;;ADJF;
потрясе;;NOUN;
почуя;;GRND;
приблудший;;PRTF;
приотворя;;GRND;
примочь;;VERB;
проголодь;;NOUN;
пропаша;;NOUN;
прокрикнуть;;VERB;
пятирежды;;ADVB;
пятитоночка;;NOUN;
пятнисто-лимонный;;ADJF;
радищевски ;;ADVB;
разбудя;;GRND;
разбездарство;;NOUN;
развалено;;PRTS;
разведсекретный;;ADJF;
разжиряться;;VERB;
разрубя;;GRND;
разуверясь;;GRND;
райхеровый;;ADJF;
рандевушка;;NOUN;
ранено;;PRTS;
раскошеливать;;VERB;
раскрутясь;;GRND;
распогодить;;VERB;
расстроясь;;GRND;
растущ;;NOUN;
расширя;;GRND;
рифмишка;;NOUN;
родендроновский;;ADJF;
розовато-крем;;NOUN;
ромаха;;NOUN;
самоедочка;;NOUN;
самосжечься;;GRND;
саморастущий;;ADJF;
санитарить;;VERB;
саранчиха;;NOUN;
сбереженщина;;NOUN;
сбисировать;;VERB;
свежеспиленно;;ADVB;
сверхзнойно;;ADVB;
свеся;;GRND;
светлобесье;;NOUN;
сволочистить;;VERB;
святотопорство;;NOUN;
сейсмологист;;NOUN;
сельхозяйство;;NOUN;
семихолмие;;NOUN;
сердца-макси;;NOUN;
серебрянейший;;ADJF;
серебряноголовый;;ADJF;
сестрёночка;;NOUN;
силуэтно;;ADVB;
сияльный;;ADJF;
склёшенный;;ADJF;
склонироваться;;VERB;
скользать;;VERB;
скопутиться;;VERB;
скорбянка;;NOUN;
скоростя;;GRND;
скорпионище;;NOUN;
скрипично;;ADVB;
смешочек;;NOUN;
собакалипсис;;NOUN;
собашник;;NOUN;
соберя;;GRND;
событ;;NOUN;
совестибулярный;;ADJF;
сонниксон;;NOUN;
соперировать;;VERB;
сороконог;;NOUN;
сосердцанье;;NOUN;
сотворя;;GRND;
сохраня;;GRND;
обвиня;;GRND;
спектральней;;ADJF;
стихозавязь;;NOUN;
стоступенчатый;;ADJF;
страхнуться;;VERB;
страхус;;NOUN;
суперветошь;;NOUN;
супернеэгоцентричность;;NOUN;
схлещивать;;VERB;
счихивать;;VERB;
сырчаковый;;ADJF;
сюрреалистина;;ADVB;
талантец;;NOUN;
телепорнище;;NOUN;
